State,County,Year,Total,Heroin,Other,Methadone,Population,LandArea,Bike,Carpool,Alone,Public,Walk,Home,Income,Non_US_Born,Bachelor_Degree,Grad_Degree,HS_Grad,Less_Than_HS,Associates_Degree,Unemployment,GDP Total,"GDP Education, Health, Social Assistance"
Alabama,Baldwin,2011,10,NA,NA,NA,186717,1589.78,1,12.9,81.4,0,0.9,2.4,67770,5147,22946,10923,36271,15094,39216,9,5016735,478277
Alabama,Cullman,2011,NA,NA,NA,NA,80536,734.84,NA,NA,NA,NA,NA,NA,51374,1582,4807,2940,17883,12788,16286,9.5,2298846,207610
Alabama,Etowah,2011,NA,NA,NA,NA,104303,534.99,NA,NA,NA,NA,NA,NA,51330,1833,6642,4270,22939,13064,24325,10,2801621,430563
Alabama,Jefferson,2011,39,10,28,10,658931,1111.28,0.1,9.6,84.5,1,1.5,2.6,66409,20934,78798,48016,121313,58142,131726,9.3,39515681,4542034
Alabama,Madison,2011,14,NA,12,NA,340111,801.59,0.3,6.6,86.7,0.4,1.6,2.8,76342,14164,50973,30157,48925,24067,62801,8.3,19512201,1135690
Alabama,Mobile,2011,12,NA,NA,NA,412577,1229.44,0.1,8.3,85.9,0.8,0.6,3.7,56992,10353,34983,18327,89397,45351,77770,10.8,17901892,1474168
Alabama,Shelby,2011,10,NA,NA,NA,197936,784.93,0,7.9,85.4,0,0.7,5.2,88876,8237,35082,16044,28446,11010,37186,6.2,8268481,490108
Alabama,St. Clair,2011,NA,NA,NA,NA,84398,631.9,NA,NA,NA,NA,NA,NA,60603,1097,5556,2609,19544,11256,17092,8.8,NA,NA
Alabama,Tuscaloosa,2011,NA,NA,NA,NA,197211,1321.75,0.2,9.5,86.4,0.6,1.3,1.8,59033,4714,17400,11918,35385,16568,31285,8.3,9382954,463507
Alabama,Walker,2011,20,NA,NA,17,66661,791.19,NA,NA,NA,NA,NA,NA,51787,579,2881,1774,16597,11204,14207,11.3,1795958,185026
Alaska,Anchorage Borough,2011,32,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,Fairbanks North Star Borough,2011,NA,NA,NA,NA,99192,7338.21,1.1,13.1,73.3,2.8,2.8,4.8,81952,4231,9714,6375,15289,4059,22632,6.4,5562537,375558
